City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Millinocket,US,73.51,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
214,Darhan,MN,73.11,few clouds,49.4867,105.9228,Buudai Hotel
215,Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
216,Yellowknife,CA,66.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
218,Chuy,UY,47.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
219,Inta,RU,60.8,few clouds,66.0317,60.1659,Apartments in Inta city
224,Salekhard,RU,56.46,few clouds,66.53,66.6019,Hotel 89
225,Shache,CN,77.09,overcast clouds,38.4167,77.2406,Delong Hotel
226,Tautira,PF,77.13,broken clouds,-17.7333,-149.15,Pension Oaoa
227,Elmira,US,73.72,clear sky,42.0898,-76.8077,Mark Twain Motor Inn
228,Chapais,CA,62.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
229,Kushmurun,KZ,64.94,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
230,Viedma,AR,45.36,overcast clouds,-40.8135,-62.9967,Hotel Cristal
233,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
238,Lasa,IT,65.28,clear sky,46.6166,10.7002,Pension Feldgärtenhof
239,Akureyri,IS,48.13,broken clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
240,Mar Del Plata,AR,54.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
242,Tura,IN,74.1,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
243,Huarmey,PE,62.53,few clouds,-10.0681,-78.1522,Hotel Miramar
244,Shakawe,BW,55.58,clear sky,-18.3667,21.85,Ditlhapi Guest House
247,Te Anau,NZ,46.11,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
248,Ketchikan,US,64.87,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
249,Yalta,UA,74.89,light rain,44.5,34.1667,Yalta Inturist
254,Kaupanger,NO,54.1,overcast clouds,61.1845,7.2404,Vesterland Holiday Park
256,Paraiso,CR,68.86,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
260,Guerrero Negro,MX,75.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
261,Jumla,NP,63.66,overcast clouds,29.2747,82.1838,Royal Garden Hotel
262,Sangre Grande,TT,78.76,broken clouds,10.5835,-61.1177,Lotus drive
263,Koungou,YT,71.31,clear sky,-12.7336,45.2042,Villa Netibor
265,Richards Bay,ZA,60.44,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
267,Mandan,US,74.8,clear sky,46.8267,-100.8896,Twin City Estates
271,Pella,RU,57.96,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
