City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Minbu,MM,20.1833,94.8833,86.32,65,100,8.12,overcast clouds
185,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,85,4,4.36,clear sky
186,Saint-Philippe,RE,-21.3585,55.7679,66.22,79,46,11.79,scattered clouds
187,Yokadouma,CM,3.5167,15.05,66.22,98,97,2.24,overcast clouds
188,Saskylakh,RU,71.9167,114.0833,45.73,76,100,9.91,overcast clouds
189,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.37,71,11,0.45,few clouds
190,Blanquefort,FR,44.9125,-0.6366,63.3,94,3,2.3,clear sky
191,Gitarama,RW,-2.0744,29.7567,58.46,94,85,2.39,light rain
192,Altay,CN,47.8667,88.1167,74.8,33,0,4.29,clear sky
193,Yulara,AU,-25.2406,130.9889,64.45,29,39,13.96,scattered clouds
194,Sioux Lookout,CA,50.1001,-91.917,62.67,94,100,8.05,overcast clouds
195,Batagay,RU,67.6333,134.6333,81.46,40,100,11.16,overcast clouds
196,Cayenne,GF,4.9333,-52.3333,83.08,1,69,3.44,broken clouds
197,Nuuk,GL,64.1835,-51.7216,47.88,76,95,11.01,overcast clouds
198,Marsh Harbour,BS,26.5412,-77.0636,83.17,73,100,11.83,overcast clouds
199,Ucluelet,CA,48.9329,-125.5528,66.51,87,27,8.59,scattered clouds
200,Traiguen,CL,-38.25,-72.6833,42.67,96,100,2.37,overcast clouds
201,Matara,LK,5.9485,80.5353,78.03,89,85,11.32,light rain
202,Sapernoye,RU,60.7167,29.9505,56.66,76,67,4.59,broken clouds
203,Bilma,NE,18.6853,12.9164,87.66,41,25,8.01,scattered clouds
204,Utete,TZ,-7.986,38.758,67.41,97,46,2.26,scattered clouds
205,Saltpond,GH,5.2091,-1.0606,73.22,86,100,13.33,overcast clouds
206,Olavarria,AR,-36.8927,-60.3225,52.02,79,11,6.2,few clouds
207,Vaitape,PF,-16.5167,-151.75,78.42,72,10,23.94,light rain
208,Herat,AF,34.5,62.0,76.98,25,0,20.8,clear sky
209,Koulamoutou,GA,-1.1303,12.4736,69.75,77,4,2.62,clear sky
210,Vestmannaeyjar,IS,63.4427,-20.2734,49.08,75,83,18.37,broken clouds
211,Mocuba,MZ,-16.8392,36.9856,62.56,98,6,1.66,clear sky
212,Vao,NC,-22.6667,167.4833,70.0,77,87,24.63,overcast clouds
213,Millinocket,US,45.6573,-68.7098,73.51,68,0,3.44,clear sky
214,Darhan,MN,49.4867,105.9228,73.11,55,16,1.74,few clouds
